X,Y,Z
-2.59526991844,38.9776000977,-2.03615999222
-2.88247990608,39.2396888733,-2.05925011635
-2.6581799984,39.1746101379,-2.04799008369
-2.15984988213,39.0862197876,-2.04313993454
-1.59059000015,40.1220397949,-2.02813005447
-1.5705499649,40.1523399353,-2.0243999958
-1.5175100565,40.0398406982,-2.02938008308
-1.50242996216,40.0457801819,-2.01081991196
-1.4983099699,40.1563911438,-2.02415990829
-1.48025000095,40.0701904297,-2.03111004829
-1.43016004562,40.0661697388,-2.00136995316
-1.47063994408,40.1068115234,-2.03306007385
-1.42950999737,40.1175804138,-2.02974009514
-1.3727799654,40.0816993713,-2.02403998375
-2.17501997948,39.1257514954,-2.02569007874
-1.42269003391,40.06016922,-2.01758003235
-1.39594995975,40.1232910156,-2.01907992363
-1.39133000374,40.1445083618,-2.03308010101
-1.54545998573,40.1624107361,-2.0301399231
-1.55785000324,40.2221488953,-2.03207993507
-1.55751001835,40.1953201294,-2.02973008156
-1.53066003323,40.2036781311,-2.03635001183
-1.49722003937,40.1970100403,-2.03620004654
-1.52046000957,40.2394104004,-2.0266699791
-1.46312999725,40.1608200073,-2.02958011627
-2.15973997116,39.1420898438,-2.02015995979
-1.44537997246,40.1841011047,-2.02702999115
-1.41989994049,40.2120018005,-2.03196001053
-1.37542998791,40.1972694397,-2.04281997681
-1.36325001717,40.2177200317,-2.04081010818
-1.35298001766,40.0967407227,-2.01207995415
-1.33266997337,40.0357017517,-2.02681994438
-1.33165001869,40.1550788879,-2.04225993156
-1.31918001175,40.1315193176,-2.03941011429
-1.28647994995,40.0562210083,-2.03614997864
-1.25838005543,40.1511001587,-2.03128004074
-2.12472009659,39.1392784119,-2.03605008125
-1.21946001053,40.049621582,-2.01936006546
-1.34759998322,40.1835784912,-2.04604005814
-1.29477000237,40.1894416809,-2.03419995308
-1.28977000713,40.2309799194,-2.03984999657
-1.23460996151,40.2107315063,-2.027780056
-1.21182000637,40.1731300354,-2.03597998619
-2.03830003738,40.3433990479,-2.0143699646
-1.9869799614,40.3597297668,-2.02454996109
