X,Y,Z
-2.62490010262,38.9653015137,-2.06072998047
-2.59526991844,38.9776000977,-2.03615999222
-2.8006401062,39.1667518616,-2.06221008301
-2.1175301075,39.085849762,-2.04778003693
-1.23520994186,40.0043983459,-2.02922010422
-1.18938004971,39.8330192566,-2.05584001541
-1.1617000103,39.7954483032,-2.05099010468
-1.15171003342,39.8307418823,-2.0441699028
-1.17255997658,39.8180809021,-2.03788995743
-1.1807500124,39.8870391846,-2.03425002098
-1.19440996647,40.0076904297,-2.03049993515
-1.13916003704,39.9516410828,-2.04024004936
-1.57924997807,40.0746498108,-2.0238199234
-1.55502998829,40.0786705017,-2.0257499218
-2.12472009659,39.1392784119,-2.03605008125
-1.60531997681,40.1172714233,-2.02271008492
-1.5705499649,40.1523399353,-2.0243999958
-1.53282999992,40.0812797546,-2.02520990372
-1.50242996216,40.0457801819,-2.01081991196
-1.4983099699,40.1563911438,-2.02415990829
-1.58297002316,40.1542892456,-2.00307011604
-1.55751001835,40.1953201294,-2.02973008156
-1.55785000324,40.2221488953,-2.03207993507
-1.52046000957,40.2394104004,-2.0266699791
-1.52451002598,40.2678985596,-2.0417098999
-2.15050005913,39.1133995056,-2.0371799469
-1.54545998573,40.1624107361,-2.0301399231
-1.48025000095,40.0701904297,-2.03111004829
-1.3727799654,40.0816993713,-2.02403998375
-1.43016004562,40.0661697388,-2.00136995316
-1.42269003391,40.06016922,-2.01758003235
-1.46312999725,40.1608200073,-2.02958011627
-1.41989994049,40.2120018005,-2.03196001053
-1.44537997246,40.1841011047,-2.02702999115
-1.39133000374,40.1445083618,-2.03308010101
-1.39594995975,40.1232910156,-2.01907992363
-2.09553003311,39.1405410767,-2.02002000809
-1.33266997337,40.0357017517,-2.02681994438
-1.31918001175,40.1315193176,-2.03941011429
-1.33165001869,40.1550788879,-2.04225993156
-1.29086005688,40.0339317322,-2.04189991951
-1.29477000237,40.1894416809,-2.03419995308
-1.35298001766,40.0967407227,-2.01207995415
-1.35547995567,40.2473716736,-2.01746988297
-1.28647994995,40.0562210083,-2.03614997864
-1.26172995567,40.1014518738,-2.04699993134
-1.21946001053,40.049621582,-2.01936006546
-2.32056999207,39.191619873,-2.03562998772
-1.25838005543,40.1511001587,-2.03128004074
-1.23460996151,40.2107315063,-2.027780056
-1.21182000637,40.1731300354,-2.03597998619
-2.03830003738,40.3433990479,-2.0143699646
-1.9869799614,40.3597297668,-2.02454996109
-1.95343995094,40.2868003845,-2.0262799263
-1.95608997345,40.3842201233,-2.02610993385
-1.91809999943,40.3587608337,-2.02929997444
-1.87410998344,40.3095016479,-2.04386997223
-1.86044001579,40.3682785034,-2.0246899128
-2.31137990952,39.2148895264,-2.04800009727
-2.03637003899,40.4035606384,-2.01991009712
-2.07416009903,40.4869003296,-2.03081989288
-2.03636002541,40.4850387573,-2.00400996208
-1.99574995041,40.4305801392,-2.03460001945
-2.0153799057,40.4916000366,-2.0075199604
-1.91980004311,40.4594497681,-2.02804994583
-1.96967995167,40.4837493896,-2.02488994598
-1.94821000099,40.4981918335,-2.03165006638
-1.91094005108,40.4029502869,-2.02999997139
-1.88463997841,40.4373817444,-2.03246998787
-2.30138993263,39.2446899414,-2.04256010056
-1.90334999561,40.476650238,-2.02208995819
-1.88998997211,40.4738082886,-2.01909995079
-1.91019999981,40.5065498352,-2.03656005859
-1.82569003105,40.2962188721,-2.02830004692
-1.7773900032,40.3904914856,-2.033659935
-1.82723999023,40.3486709595,-2.02209997177
-1.82018995285,40.3870010376,-1.99256002903
-1.80045998096,40.493270874,-2.02303004265
-1.74750995636,40.4421882629,-2.02554988861
-1.66717004776,40.3519096375,-2.03274989128
-2.31151008606,39.2806587219,-2.01172995567
-1.62790000439,40.337020874,-2.03591990471
-1.65293002129,40.4140892029,-2.0455698967
-1.74774003029,40.4812393188,-2.02308011055
-1.71774995327,40.4636802673,-2.0337100029
-1.62027001381,40.4603881836,-2.02982997894
-1.61363005638,40.4878501892,-2.02617001534
-1.66210997105,40.4894485474,-2.02653002739
-2.04909992218,40.6318817139,-2.05012011528
-2.00947999954,40.6214790344,-2.04483008385
-1.96507000923,40.5834197998,-2.03752994537
-2.27361989021,39.1921691895,-2.03920006752
-1.93195998669,40.5411186218,-2.03322005272
-2.03289008141,40.5292205811,-2.02496004105
-1.93123996258,40.7191886902,-2.01719999313
-1.94667994976,40.6869392395,-2.03411006927
-1.95204997063,40.6841888428,-2.04849004745
-1.87161004543,40.608959198,-2.03965997696
-1.8710000515,40.6452102661,-2.04525995255
-1.8657900095,40.5232887268,-2.03871011734
-1.88046002388,40.6716308594,-2.03666996956
-1.83852005005,40.526348114,-2.03297996521
-2.23731994629,39.2297592163,-2.03554010391
-1.82292997837,40.5126914978,-2.01694011688
-1.84446001053,40.5933113098,-2.0381000042
-1.81980001926,40.6043586731,-2.03861999512
-1.81022000313,40.5437011719,-2.02263998985
-1.77076005936,40.5945091248,-2.0366499424
-1.72336995602,40.5932693481,-2.02467989922
-1.72451996803,40.5997810364,-1.98670995235
-1.67694997787,40.5261116028,-2.02597999573
-1.64563000202,40.5251617432,-2.02281999588
-1.60251998901,40.5169792175,-2.03064990044
-2.73582005501,39.2081108093,-2.06266999245
-2.2474899292,39.2491989136,-2.02495002747
-1.6836400032,40.5577583313,-2.03135991096
-1.84519004822,40.6499481201,-2.04434990883
-1.80624997616,40.6455802917,-2.04068994522
-1.79832994938,40.6813087463,-2.00282001495
-1.8386900425,40.6945114136,-2.04068994522
-1.72424995899,40.6505203247,-2.01975011826
-1.69936001301,40.6609992981,-2.02303004265
-1.60159003735,40.3095016479,-2.03022003174
-1.57344996929,40.3482589722,-2.03515005112
-1.54904997349,40.347530365,-2.03499007225
-2.18606996536,39.1939201355,-2.03378009796
-1.56535005569,40.3680381775,-2.03736996651
-1.54487001896,40.3925514221,-2.03291988373
-1.55441999435,40.4360809326,-2.03431010246
-1.52706003189,40.4978485107,-1.99441003799
-1.52644002438,40.3708305359,-2.02474999428
-1.52429997921,40.4201011658,-2.01852011681
-1.4957100153,40.2629814148,-2.03710007668
-1.50022995472,40.431060791,-2.01559996605
-1.49707996845,40.3866500854,-2.02732992172
-1.47037994862,40.4216117859,-2.01777005196
-2.19539999962,39.215221405,-2.03750991821
-1.39938998222,40.4547309875,-2.02956008911
-1.45815002918,40.4668884277,-2.02664995193
-1.49770998955,40.5004882812,-2.00669002533
-1.35056996346,40.3553390503,-2.023250103
-1.59469997883,40.5643005371,-2.02484989166
-1.55175995827,40.5593795776,-2.02901005745
-1.55994999409,39.7118682861,-1.97244000435
-3.03896999359,39.8041610718,-1.96282994747
-2.78527998924,40.4057197571,-1.98019003868
-2.14997005463,39.1827697754,-2.03953003883
-2.17768001556,39.2223396301,-2.01781010628
-2.20198011398,39.2620887756,-2.02887010574
-2.15740990639,39.2652206421,-2.04086995125
-2.2062599659,39.248500824,-2.03296995163
-2.12934994698,39.1745109558,-2.04464006424
-2.14154005051,39.2248497009,-2.04057002068
-2.75397992134,39.2406311035,-2.05644011497
-2.12770009041,39.203578949,-2.03416991234
-2.10977005959,39.1899490356,-2.0432600975
-2.10384988785,39.2355918884,-2.03253006935
-2.14122009277,39.2553215027,-2.04013991356
-2.12132000923,39.2554092407,-2.03733992577
-2.13424992561,39.2805900574,-2.03838992119
-2.92943000793,39.3317718506,-2.0520401001
-2.90827989578,39.366569519,-2.04747009277
-2.92376995087,39.3756217957,-2.05115008354
-2.85966992378,39.4195404053,-1.99968004227
-2.71343994141,39.2059783936,-2.06005001068
-2.82105994225,39.3894805908,-2.05146002769
-2.99005007744,39.4610290527,-2.04752993584
-3.02836990356,39.5190010071,-2.03428006172
-2.95331001282,39.4218406677,-2.06025004387
-2.94264006615,39.4376106262,-2.0674700737
-2.90617990494,39.4269790649,-2.03817009926
-2.92397999763,39.5259399414,-2.05466008186
-2.88264989853,39.484500885,-2.04279994965
-2.84372997284,39.4591293335,-2.03676009178
-2.83257007599,39.5272598267,-2.04217004776
-2.68764996529,39.2854995728,-2.05895996094
-2.77692008018,39.3472900391,-2.05356001854
-2.75464010239,39.313129425,-2.05206990242
-2.7206799984,39.3210296631,-2.03713989258
-2.7143599987,39.3775215149,-2.02122998238
-2.70232009888,39.3572387695,-2.03966999054
-2.66465997696,39.344959259,-2.04585003853
-2.64899992943,39.3967895508,-2.03173995018
-2.61310005188,39.3239097595,-2.04555988312
-2.59025001526,39.3784599304,-2.04335999489
-2.77617001534,39.4649009705,-2.05047011375
-2.66985011101,39.267490387,-2.05660009384
-2.80770993233,39.4797592163,-2.04854011536
-2.801019907,39.5134315491,-2.02543997765
-2.73488998413,39.5139007568,-2.02657008171
-2.768419981,39.539188385,-2.02941989899
-2.7317199707,39.4775009155,-2.03936004639
-2.72142004967,39.4229698181,-2.04604005814
-2.72517991066,39.4259605408,-2.03945994377
-2.67250990868,39.4273986816,-2.03455996513
-2.6795899868,39.4675292969,-2.03975009918
-2.66744995117,39.5266189575,-2.03006005287
-2.6581799984,39.1746101379,-2.04799008369
-2.69252991676,39.5380401611,-2.03042006493
-2.6205599308,39.4623298645,-2.03741002083
-2.57737994194,39.45703125,-2.03328990936
-2.62943005562,39.5086708069,-2.03060007095
-2.93479990959,39.5725708008,-2.05009007454
-3.05041003227,39.6518783569,-2.03754997253
-2.93496990204,39.6124801636,-2.04460000992
-2.93277001381,39.6649398804,-2.03578996658
-2.98532009125,39.671710968,-2.04298996925
-2.91225004196,39.6168403625,-2.02994990349
-2.65337991714,39.2822113037,-2.05049991608
-2.95756006241,39.7130088806,-1.99633002281
-3.05258011818,39.7452011108,-2.02602005005
-2.99879002571,39.7697982788,-2.02990007401
-2.91359996796,39.7644805908,-2.03408002853
-2.84525990486,39.5597305298,-2.03200006485
-2.86684989929,39.6541595459,-2.03688001633
-2.84488010406,39.6541786194,-2.04077005386
-2.84243988991,39.6109580994,-2.03822994232
-2.87121009827,39.7291908264,-2.01150989532
