X,Y,Z
-13.6667699814,23.0377292633,10.3445396423
-13.7112197876,23.0814800262,10.3464698792
-13.6807203293,23.1982097626,10.356760025
-13.6393098831,23.4224796295,10.3590497971
-13.6627101898,23.3833408356,10.3691701889
-13.6648101807,23.4175491333,10.3565502167
-13.5991401672,23.3886909485,10.3405399323
-13.5723304749,23.4073600769,10.3319501877
-13.5383796692,23.394739151,10.3728904724
-13.4972200394,23.4212493896,10.3430595398
-13.5685100555,23.4720401764,10.3522500992
-13.5475196838,23.4502792358,10.3312597275
-13.4854202271,23.3190402985,10.3406200409
-13.7611503601,23.2576198578,10.3487701416
-13.4068098068,23.2971305847,10.3420801163
-13.3411598206,23.313249588,10.3414402008
-13.3792695999,23.3681793213,10.337100029
-13.3408699036,23.3623790741,10.3793001175
-13.4716300964,23.3913707733,10.3438796997
-13.3998699188,23.4274997711,10.3317298889
-13.3820400238,23.4163303375,10.3339700699
-13.6645002365,23.5035400391,10.3329401016
-13.5878000259,23.5364608765,10.3811302185
-13.5963802338,23.5554695129,10.3494100571
-13.6912002563,23.2470302582,10.3406896591
-13.5381202698,23.4929790497,10.3654899597
-13.5552902222,23.5554199219,10.3470697403
-13.6256999969,23.5613594055,10.3512201309
-13.653429985,23.6512794495,10.3556900024
-13.5769395828,23.6320705414,10.3460798264
-13.5794095993,23.6019992828,10.3530902863
-13.5158195496,23.5844192505,10.3546895981
-13.5240898132,23.6590194702,10.3460502625
-13.5032100677,23.6155204773,10.3322896957
-13.4726600647,23.4999694824,10.3456201553
-13.6123399734,23.0093593597,10.3378400803
-13.4503202438,23.4866199493,10.3750801086
-13.4877300262,23.5332794189,10.3499097824
-13.4298400879,23.5197906494,10.3369703293
-13.4342298508,23.5591602325,10.3442897797
-13.410779953,23.5475006104,10.3401098251
-13.3806600571,23.5178394318,10.3416004181
-13.3249397278,23.477519989,10.3326301575
-13.3219203949,23.503610611,10.3862400055
-13.3652801514,23.5608291626,10.3321304321
-13.4634599686,23.5688591003,10.3593502045
-13.6761398315,23.0202293396,10.3346595764
-13.4329395294,23.6250591278,10.3660497665
-13.4169197083,23.6089191437,10.337439537
-13.3431997299,23.5961894989,10.3427696228
-13.3873195648,23.6311302185,10.3262195587
-13.3306303024,23.6266498566,10.3235702515
-13.333609581,23.6514606476,10.3313102722
-13.2615098953,22.9274406433,10.3626804352
-13.2411499023,22.9958591461,10.3459997177
-13.2079496384,22.9914207458,10.3421096802
-13.1840896606,22.9915904999,10.3749399185
-13.5961503983,23.0269699097,10.3294296265
-13.1213998795,23.010969162,10.3588104248
-13.269080162,23.0193691254,10.3412399292
-13.2193403244,23.0523395538,10.3686199188
-13.2880096436,23.0659503937,10.3398895264
-13.2322397232,23.0767993927,10.3492202759
-13.1454601288,23.0801906586,10.3350696564
-13.0890798569,22.9724693298,10.3554601669
-13.0597496033,22.995349884,10.34953022
-13.0250396729,23.0621891022,10.3776197433
-13.1010103226,23.0616798401,10.356880188
-13.6253404617,23.0659999847,10.327050209
-12.9474401474,23.0750999451,10.3604602814
-13.2768697739,23.0958404541,10.3345804214
