X,Y,Z
-10.77064991,14.3673295975,-8.9454498291
-10.7857198715,14.3660802841,-8.95709037781
-10.8075504303,14.4124403,-8.95734024048
-10.7884702682,14.4732704163,-8.96051025391
-10.7813196182,14.4781904221,-8.9622297287
-10.7778396606,14.497209549,-8.95471954346
-10.795999527,14.4898796082,-8.96296977997
-10.8029298782,14.5016202927,-8.95767021179
-10.7900896072,14.5047397614,-8.94933986664
-10.7852697372,14.4903802872,-8.96201038361
-10.8206100464,14.5279302597,-8.94754981995
-10.8144798279,14.5506601334,-8.96166992188
-10.7963399887,14.5431098938,-8.94999027252
-10.8168201447,14.4320497513,-8.95715999603
-10.7716302872,14.5439500809,-8.95201015472
-10.9222202301,14.579870224,-8.91991996765
-10.9165401459,14.5862102509,-8.94684028625
-10.8908004761,14.5930995941,-8.94021034241
-10.8726997375,14.5525398254,-8.95024013519
-10.8796195984,14.5623598099,-8.93741989136
-10.8544597626,14.5528297424,-8.95930957794
-10.8566198349,14.5640096664,-8.95279979706
-10.8766698837,14.5882701874,-8.94964981079
-10.8615903854,14.5754499435,-8.94536018372
-10.798910141,14.4177398682,-8.95444011688
-10.8500499725,14.5857000351,-8.94069004059
-10.9081096649,14.6005897522,-8.94250965118
-10.8953304291,14.6080799103,-8.94027996063
-10.9255895615,14.6310997009,-8.94968032837
-10.9050197601,14.6274499893,-8.94900035858
-10.9167003632,14.6163196564,-8.93482971191
-10.8741102219,14.5971803665,-8.95051002502
-10.8805799484,14.6056900024,-8.94995975494
-10.849029541,14.6012201309,-8.94262981415
-10.8515796661,14.6224899292,-8.94507980347
-10.8018398285,14.3856401443,-8.95401954651
-10.8818798065,14.6287202835,-8.94307041168
-10.7842903137,14.552280426,-8.95753002167
-10.838809967,14.5611801147,-8.95141029358
-10.821149826,14.5687198639,-8.94690990448
-10.814209938,14.5713596344,-8.9617099762
-10.8148202896,14.5883798599,-8.94550037384
-10.7659797668,14.5565700531,-8.96140003204
-10.7975196838,14.5754203796,-8.95154953003
-10.8319797516,14.6008701324,-8.95433044434
-10.8409204483,14.594909668,-8.95409965515
-10.7969503403,14.3982095718,-8.95254993439
-10.8125200272,14.6038503647,-8.94952964783
-10.8366098404,14.6130104065,-8.95081996918
-10.8421697617,14.6274900436,-8.94672012329
-10.8189897537,14.6441202164,-8.94952011108
-10.7927598953,14.6253004074,-8.94888019562
-10.8059797287,14.5940704346,-8.96259021759
-10.784239769,14.5945100784,-8.94731998444
-10.7966499329,14.6094503403,-8.94167995453
-10.7848300934,14.6216201782,-8.95995044708
-10.7734298706,14.621629715,-8.96296977997
-10.7851800919,14.3986597061,-8.96152973175
-10.7781400681,14.6333703995,-8.95258045197
-10.7542600632,14.4702701569,-8.95316028595
-10.7256002426,14.4840402603,-8.92864990234
-10.7436304092,14.4677801132,-8.96257019043
-10.6789398193,14.4925899506,-8.95446968079
-10.6937503815,14.5089101791,-8.95374011993
-10.7583799362,14.5284900665,-8.96242046356
-10.7620897293,14.537610054,-8.96391010284
-10.7377500534,14.6247501373,-8.94836044312
-10.7218799591,14.5281400681,-8.96317958832
-10.7847099304,14.4254703522,-8.95081996918
-10.6915798187,14.5181703568,-8.95703029633
-10.7055501938,14.5541400909,-8.95944023132
-10.6052799225,14.5036497116,-8.96506023407
-10.6812400818,14.4717197418,-8.95963954926
-10.64041996,14.5253200531,-8.95357990265
-10.6494903564,14.4949302673,-8.96747970581
-10.6266899109,14.4987001419,-8.95783042908
-10.6086101532,14.4927902222,-8.96345996857
-10.6561203003,14.5417299271,-8.89196014404
-10.6178398132,14.5139102936,-8.95182037354
-10.834859848,14.4410896301,-8.95415019989
-10.6303901672,14.5313196182,-8.95641040802
-10.6058397293,14.5146999359,-8.95913982391
-10.6253404617,14.5449104309,-8.95139026642
-10.6408901215,14.538359642,-8.95223045349
-10.611289978,14.5347900391,-8.95448970795
-10.6948604584,14.5868196487,-8.96063995361
-10.689450264,14.5560703278,-8.93313980103
-10.6919298172,14.5677404404,-8.96800994873
-10.7600898743,14.628370285,-8.95604038239
-10.7031803131,14.6086902618,-8.9574098587
-10.8113698959,14.4378499985,-8.95261955261
-10.718580246,14.62059021,-8.96395015717
-10.7220897675,14.6409702301,-8.95516014099
-10.6867799759,14.6219596863,-8.9633398056
-10.6851902008,14.6315603256,-8.96405982971
-10.6773300171,14.564209938,-8.95750045776
-10.6385002136,14.5747299194,-8.92486953735
-10.6486301422,14.5826501846,-8.95417022705
-10.6273298264,14.5546398163,-8.95219993591
-10.6377000809,14.5593700409,-8.95666980743
-10.5565595627,14.5446596146,-8.93803977966
-10.8062896729,14.4525403976,-8.91613960266
-10.6265897751,14.5748195648,-8.9544801712
-10.6380300522,14.6007204056,-8.95697021484
