Filename,Volume_cm3,Height_m,Alpha,Method,MaxX,MaxY,MaxZ
cluster_0.txt,3.482313,0.018600,,convex,7.676650,16.281860,-9.536910
cluster_1.txt,0.641100,0.007780,,convex,7.669800,16.314171,-9.546480
cluster_10.txt,0.769017,0.007649,,convex,7.668930,16.368971,-9.552100
cluster_100.txt,2.965692,0.031740,,convex,7.698990,16.629480,-9.532660
cluster_101.txt,3.180610,0.028140,,convex,7.627620,16.657511,-9.534360
cluster_102.txt,8.492772,0.052051,,convex,7.591920,16.669050,-9.513510
cluster_103.txt,7.016868,0.051260,,convex,7.670250,16.652809,-9.510690
cluster_104.txt,2.138499,0.021420,,convex,7.676900,16.686449,-9.542580
cluster_105.txt,6.545466,0.034090,,convex,7.513250,16.705090,-9.537310
cluster_106.txt,5.436149,0.041810,,convex,7.476840,16.742519,-9.525990
cluster_107.txt,2.579613,0.020990,,convex,7.511030,16.750540,-9.543580
cluster_108.txt,0.986349,0.016280,,convex,7.567720,16.704639,-9.547680
cluster_109.txt,1.265537,0.019920,,convex,7.562430,16.751980,-9.542920
cluster_11.txt,6.068420,0.033999,,convex,7.639310,16.416370,-9.521220
cluster_110.txt,17.008902,0.074059,,convex,7.527920,16.766741,-9.491920
cluster_111.txt,13.785195,0.062250,,convex,7.588470,16.771460,-9.500380
cluster_112.txt,3.568113,0.026080,,convex,7.621680,16.735600,-9.540150
cluster_113.txt,1.669245,0.018450,,convex,7.656730,16.744341,-9.548230
cluster_114.txt,2.051230,0.011740,,convex,7.632820,16.809441,-9.555930
cluster_115.txt,2.270189,0.024190,,convex,7.707390,16.792919,-9.548520
cluster_116.txt,2.664332,0.024780,,convex,7.350330,16.844440,-9.540930
cluster_117.txt,4.158298,0.027431,,convex,7.304800,16.899891,-9.534180
cluster_118.txt,0.018489,0.007891,,convex,7.304150,16.897989,-9.525720
cluster_119.txt,0.759178,0.014100,,convex,7.343570,16.898380,-9.544840
cluster_12.txt,0.268397,0.006740,,convex,7.675290,16.404369,-9.552000
cluster_120.txt,0.187902,0.006350,,convex,7.399820,16.870661,-9.557490
cluster_121.txt,17.984986,0.061521,,convex,7.442970,16.874180,-9.505710
cluster_122.txt,0.611905,0.011419,,convex,7.376540,16.890869,-9.550100
cluster_123.txt,0.489721,0.010450,,convex,7.458150,16.919380,-9.553430
cluster_124.txt,0.801486,0.011729,,convex,7.454350,16.939240,-9.552260
cluster_125.txt,1.420697,0.014400,,convex,7.297410,16.940870,-9.556670
cluster_126.txt,4.464157,0.020180,,convex,7.348850,16.968719,-9.553290
cluster_127.txt,0.689319,0.007159,,convex,7.306060,16.988260,-9.566960
cluster_128.txt,5.185678,0.021359,,convex,7.275290,17.009630,-9.554280
cluster_129.txt,1.696191,0.010940,,convex,7.292490,17.050039,-9.563050
cluster_13.txt,6.903261,0.026380,,convex,7.480980,16.516939,-9.538620
cluster_130.txt,0.485253,0.005000,,convex,7.318270,17.007530,-9.568840
cluster_131.txt,1.745311,0.017600,,convex,7.332590,17.043980,-9.550700
cluster_132.txt,0.289832,0.008880,,convex,7.374860,16.982941,-9.560270
cluster_133.txt,0.352771,0.007490,,convex,7.450800,16.960690,-9.556570
cluster_134.txt,2.168197,0.019330,,convex,7.357310,17.017090,-9.550970
cluster_135.txt,0.121049,0.004810,,convex,7.354780,17.041420,-9.558780
cluster_136.txt,2.987188,0.036100,,convex,7.354190,17.062490,-9.528800
cluster_137.txt,3.092098,0.030740,,convex,7.393400,17.031240,-9.536050
cluster_138.txt,1.278217,0.017180,,convex,7.447410,17.008410,-9.549860
cluster_139.txt,0.356409,0.007470,,convex,7.434030,17.055420,-9.567960
cluster_14.txt,5.268207,0.027380,,convex,7.519710,16.501511,-9.537560
cluster_140.txt,1.659624,0.015770,,convex,7.502390,16.824690,-9.551730
cluster_141.txt,4.853786,0.051990,,convex,7.487360,16.867821,-9.512370
cluster_142.txt,4.024302,0.044840,,convex,7.563800,16.825609,-9.516760
cluster_143.txt,5.905220,0.047550,,convex,7.533350,16.861179,-9.516240
cluster_144.txt,0.860961,0.014880,,convex,7.507330,16.893511,-9.550620
cluster_145.txt,0.900161,0.013371,,convex,7.497540,16.924219,-9.553800
cluster_146.txt,11.067052,0.043791,,convex,7.576980,16.919750,-9.523580
cluster_147.txt,0.494746,0.012140,,convex,7.613570,16.833389,-9.556880
cluster_148.txt,4.266549,0.034760,,convex,7.615490,16.865620,-9.530350
cluster_149.txt,10.577675,0.048719,,convex,7.664630,16.827650,-9.518540
cluster_15.txt,3.083133,0.019480,,convex,7.514300,16.544319,-9.543210
cluster_150.txt,4.394567,0.033280,,convex,7.679690,16.878201,-9.532780
cluster_151.txt,0.940711,0.008580,,convex,7.709060,16.904039,-9.565080
cluster_152.txt,5.880667,0.038470,,convex,7.504670,16.968889,-9.533380
cluster_153.txt,1.189257,0.012341,,convex,7.580350,16.990761,-9.559750
cluster_154.txt,7.645327,0.048610,,convex,7.525410,17.017981,-9.525850
cluster_155.txt,1.170113,0.019570,,convex,7.478260,17.052389,-9.548860
cluster_156.txt,3.193028,0.033529,,convex,7.560820,17.026850,-9.536720
cluster_157.txt,0.578475,0.009680,,convex,7.582670,17.030399,-9.563360
cluster_158.txt,2.921934,0.034590,,convex,7.529470,17.049770,-9.534000
cluster_159.txt,1.566009,0.024880,,convex,7.563970,17.058670,-9.545270
cluster_16.txt,1.253132,0.012230,,convex,7.537360,16.559771,-9.549640
cluster_160.txt,5.834723,0.036360,,convex,7.605190,16.969370,-9.532960
cluster_161.txt,1.515661,0.010070,,convex,7.651000,16.972790,-9.564940
cluster_162.txt,3.220782,0.027710,,convex,7.679460,16.987459,-9.546060
cluster_163.txt,0.339780,0.010230,,convex,7.604320,17.035839,-9.565190
cluster_164.txt,3.618158,0.033911,,convex,7.685100,17.040131,-9.541100
cluster_165.txt,46.806373,0.093740,,convex,7.793620,16.600590,-9.471090
cluster_166.txt,17.074537,0.040770,,convex,7.792950,16.687571,-9.533120
cluster_167.txt,5.384363,0.029640,,convex,7.844350,16.583179,-9.539100
cluster_168.txt,1.381278,0.017860,,convex,7.866110,16.621771,-9.551060
cluster_169.txt,10.786218,0.063720,,convex,7.878550,16.638081,-9.508030
cluster_17.txt,1.397473,0.010051,,convex,7.642820,16.462999,-9.551640
cluster_170.txt,3.226158,0.030709,,convex,7.862690,16.668900,-9.537560
cluster_171.txt,1.524397,0.012160,,convex,7.878680,16.693050,-9.559930
cluster_172.txt,10.500494,0.050390,,convex,7.888960,16.671600,-9.524370
cluster_173.txt,2.480669,0.017341,,convex,7.756470,16.741779,-9.559460
cluster_174.txt,7.556191,0.037400,,convex,7.831350,16.731930,-9.537820
cluster_175.txt,4.052698,0.028810,,convex,7.728440,16.778351,-9.547590
cluster_176.txt,1.340171,0.014770,,convex,7.774160,16.780399,-9.562890
cluster_177.txt,1.189546,0.014750,,convex,7.881560,16.738661,-9.563500
cluster_178.txt,1.681137,0.015580,,convex,7.935810,16.718370,-9.563230
cluster_179.txt,2.397189,0.018451,,convex,7.957730,16.706450,-9.560160
cluster_18.txt,4.945016,0.037510,,convex,7.689920,16.474270,-9.517690
cluster_180.txt,2.075096,0.022400,,convex,7.939650,16.749060,-9.557390
cluster_181.txt,4.279447,0.022710,,convex,7.850880,16.761681,-9.555870
cluster_182.txt,3.916787,0.034261,,convex,7.863570,16.806601,-9.542520
cluster_183.txt,0.553437,0.008480,,convex,7.908140,16.806379,-9.568040
cluster_184.txt,4.504492,0.029449,,convex,7.970570,16.627790,-9.545610
cluster_185.txt,0.095128,0.004710,,convex,8.033370,16.609360,-9.564610
cluster_186.txt,0.287039,0.006020,,convex,8.067640,16.627090,-9.567770
cluster_187.txt,3.317304,0.024890,,convex,8.021440,16.672741,-9.552890
cluster_188.txt,5.049654,0.043410,,convex,8.109860,16.604031,-9.529180
cluster_189.txt,0.950558,0.009430,,convex,8.172360,16.591299,-9.570420
cluster_19.txt,2.578815,0.020050,,convex,7.952430,16.148340,-9.535840
cluster_190.txt,0.110452,0.004820,,convex,8.092290,16.671209,-9.569660
cluster_191.txt,0.199014,0.006410,,convex,8.111060,16.666370,-9.568360
cluster_192.txt,0.243128,0.005711,,convex,8.156360,16.672720,-9.572760
cluster_193.txt,12.932952,0.062010,,convex,8.014520,16.761101,-9.515960
cluster_194.txt,0.219642,0.006379,,convex,8.069850,16.723700,-9.570190
cluster_195.txt,1.393183,0.015110,,convex,8.029780,16.725140,-9.563350
cluster_196.txt,1.048366,0.017370,,convex,8.069860,16.748779,-9.556610
cluster_197.txt,2.623110,0.026970,,convex,7.963480,16.760170,-9.550190
cluster_198.txt,0.908272,0.010509,,convex,7.963520,16.802790,-9.567330
cluster_199.txt,5.498639,0.034180,,convex,7.986400,16.832861,-9.540900
cluster_2.txt,4.619750,0.020920,,convex,7.433150,16.502750,-9.544910
cluster_20.txt,0.905607,0.009620,,convex,7.872350,16.197510,-9.547650
cluster_200.txt,0.441465,0.015030,,convex,8.041370,16.777130,-9.558930
cluster_201.txt,0.438679,0.010960,,convex,8.027110,16.815990,-9.561900
cluster_202.txt,0.310269,0.010420,,convex,8.038720,16.792521,-9.561440
cluster_203.txt,0.216157,0.008740,,convex,8.094510,16.721939,-9.566350
cluster_204.txt,0.150061,0.006640,,convex,8.121150,16.702030,-9.569940
cluster_205.txt,0.145028,0.005361,,convex,8.163850,16.707470,-9.571710
cluster_206.txt,0.099316,0.003460,,convex,8.195910,16.704990,-9.572760
cluster_207.txt,0.647699,0.011391,,convex,8.144000,16.724680,-9.565720
cluster_208.txt,1.912714,0.039550,,convex,8.137750,16.745770,-9.528080
cluster_209.txt,0.103916,0.002480,,convex,8.176320,16.738701,-9.570610
cluster_21.txt,10.566289,0.036751,,convex,7.911770,16.160139,-9.523540
cluster_210.txt,0.594196,0.007950,,convex,8.088350,16.790661,-9.571260
cluster_211.txt,0.394728,0.009259,,convex,8.104970,16.816320,-9.568400
cluster_212.txt,0.775580,0.024430,,convex,8.121720,16.803690,-9.550980
cluster_213.txt,2.667442,0.025670,,convex,8.150850,16.769911,-9.550680
cluster_214.txt,0.679423,0.009110,,convex,8.148070,16.796169,-9.570270
cluster_215.txt,12.090823,0.042191,,convex,7.724010,16.850229,-9.534450
cluster_216.txt,2.319875,0.015990,,convex,7.773690,16.880569,-9.560760
cluster_217.txt,0.602598,0.010910,,convex,7.784390,16.838461,-9.565810
cluster_218.txt,2.221920,0.009510,,convex,7.817360,16.835890,-9.570900
cluster_219.txt,0.909763,0.012990,,convex,7.730100,16.906820,-9.564650
cluster_22.txt,2.799104,0.018291,,convex,7.725800,16.258070,-9.535850
cluster_220.txt,4.448016,0.025750,,convex,7.760790,16.925100,-9.551440
cluster_221.txt,5.300771,0.029480,,convex,7.789890,16.921980,-9.553670
cluster_222.txt,0.445004,0.009200,,convex,7.858760,16.833281,-9.564440
cluster_223.txt,1.772089,0.018690,,convex,7.852570,16.856270,-9.557990
cluster_224.txt,1.746141,0.016471,,convex,7.936040,16.823259,-9.561460
cluster_225.txt,0.985231,0.015559,,convex,7.897790,16.888309,-9.559260
cluster_226.txt,0.171267,0.008310,,convex,7.891170,16.901991,-9.562160
cluster_227.txt,1.753800,0.014280,,convex,7.929260,16.902981,-9.563610
cluster_228.txt,0.433283,0.007510,,convex,7.944300,16.886869,-9.569660
cluster_229.txt,0.810337,0.011930,,convex,7.758820,16.988960,-9.566020
cluster_23.txt,13.468813,0.038630,,convex,7.820730,16.241600,-9.517020
cluster_230.txt,5.890863,0.042200,,convex,7.714150,17.008440,-9.532280
cluster_231.txt,0.496130,0.009951,,convex,7.748050,17.009180,-9.567590
cluster_232.txt,1.487550,0.014540,,convex,7.778340,17.034950,-9.563260
cluster_233.txt,12.036657,0.052031,,convex,7.879360,16.947149,-9.526910
cluster_234.txt,0.291602,0.010250,,convex,7.894430,16.939520,-9.563620
cluster_235.txt,12.491776,0.068080,,convex,7.955240,16.948509,-9.504770
cluster_236.txt,1.792098,0.018200,,convex,7.918420,16.993860,-9.555770
cluster_237.txt,1.322113,0.011610,,convex,7.938740,16.982540,-9.563620
cluster_238.txt,0.334349,0.005800,,convex,7.871340,17.027361,-9.577040
cluster_239.txt,5.283246,0.032010,,convex,7.932800,17.008810,-9.547180
cluster_24.txt,1.996335,0.011850,,convex,7.816220,16.282940,-9.550320
cluster_240.txt,11.397887,0.041390,,convex,7.921920,17.047581,-9.542660
cluster_241.txt,0.749886,0.013230,,convex,7.961520,16.828529,-9.565380
cluster_242.txt,1.755675,0.015961,,convex,7.995390,16.863449,-9.563350
cluster_243.txt,1.133164,0.014959,,convex,8.053850,16.834900,-9.563050
cluster_244.txt,1.971560,0.016400,,convex,7.976680,16.886709,-9.563430
