Filename,Volume_cm3,Height_m,Alpha,Method,MaxX,MaxY,MaxZ
cluster_0.txt,3.652104,0.023030,,convex,-3.207900,4.010180,6.977030
cluster_1.txt,17.381091,0.042810,,convex,-3.367340,4.178890,7.003830
cluster_10.txt,1.642223,0.013030,,convex,-2.953160,3.994730,6.974350
cluster_100.txt,0.361880,0.010000,,convex,-2.935190,4.486610,6.972020
cluster_101.txt,2.898585,0.027340,,convex,-2.885030,4.451780,6.987150
cluster_102.txt,0.494155,0.007090,,convex,-2.844160,4.423520,6.967520
cluster_103.txt,0.593346,0.007690,,convex,-2.961860,4.510080,6.958720
cluster_104.txt,0.528084,0.007570,,convex,-2.936880,4.514270,6.960020
cluster_105.txt,20.527155,0.026400,,convex,-2.773500,3.991540,6.981500
cluster_106.txt,3.836375,0.025740,,convex,-2.725870,3.915740,6.992080
cluster_107.txt,2.524134,0.018640,,convex,-2.705740,3.948580,6.982640
cluster_108.txt,3.633621,0.034680,,convex,-2.792420,4.059840,7.002900
cluster_109.txt,3.310577,0.033930,,convex,-2.778290,4.034520,7.007500
cluster_11.txt,3.729839,0.018220,,convex,-2.823630,4.005760,6.980190
cluster_110.txt,4.082933,0.015100,,convex,-2.663110,4.004520,6.974450
cluster_111.txt,2.146533,0.020140,,convex,-2.596930,4.028910,6.982630
cluster_112.txt,0.488929,0.006050,,convex,-2.557580,4.039970,6.967900
cluster_113.txt,0.203037,0.007080,,convex,-2.810950,4.100680,6.969840
cluster_114.txt,14.273670,0.026520,,convex,-2.775430,4.111850,6.986600
cluster_115.txt,3.184147,0.020230,,convex,-2.715450,4.147560,6.974460
cluster_116.txt,1.386331,0.013460,,convex,-2.689220,4.108620,6.967030
cluster_117.txt,1.450388,0.014940,,convex,-2.712170,4.087380,6.977010
cluster_118.txt,0.351446,0.008170,,convex,-2.723150,4.112490,6.971950
cluster_119.txt,20.292109,0.026890,,convex,-2.758180,4.230960,6.984840
cluster_12.txt,6.471095,0.035460,,convex,-2.864380,4.032740,7.003860
cluster_120.txt,0.847329,0.009380,,convex,-2.796470,4.171060,6.973110
cluster_121.txt,0.111755,0.004350,,convex,-2.563780,4.093510,6.962110
cluster_122.txt,6.708434,0.024910,,convex,-2.637190,4.119620,6.983460
cluster_123.txt,0.132670,0.004390,,convex,-2.578590,4.112690,6.956940
cluster_124.txt,1.135096,0.009110,,convex,-2.598030,4.211550,6.961050
cluster_125.txt,1.372358,0.010870,,convex,-2.434380,4.090400,6.975110
cluster_126.txt,21.882499,0.038920,,convex,-2.314090,4.121750,7.004520
