Filename,Volume_cm3,Height_m,Alpha,Method,MaxX,MaxY,MaxZ
cluster_0.txt,6.963943,0.028950,,convex,-2.595270,38.977600,-2.036160
cluster_1.txt,1.731803,0.010810,,convex,-2.882480,39.239689,-2.059250
cluster_10.txt,1.656790,0.013930,,convex,-2.658180,39.174610,-2.047990
cluster_100.txt,0.474688,0.006360,,convex,-2.159850,39.086220,-2.043140
cluster_1000.txt,0.146458,0.007920,,convex,-1.590590,40.122040,-2.028130
cluster_1001.txt,0.930849,0.014960,,convex,-1.570550,40.152340,-2.024400
cluster_1002.txt,0.719607,0.011690,,convex,-1.517510,40.039841,-2.029380
cluster_1003.txt,3.726789,0.030080,,convex,-1.502430,40.045780,-2.010820
cluster_1004.txt,1.686004,0.018610,,convex,-1.498310,40.156391,-2.024160
cluster_1005.txt,1.390233,0.013830,,convex,-1.480250,40.070190,-2.031110
cluster_1006.txt,9.460402,0.040070,,convex,-1.430160,40.066170,-2.001370
cluster_1007.txt,0.157993,0.005550,,convex,-1.470640,40.106812,-2.033060
cluster_1008.txt,0.713259,0.010080,,convex,-1.429510,40.117580,-2.029740
cluster_1009.txt,1.289948,0.012130,,convex,-1.372780,40.081699,-2.024040
cluster_101.txt,2.932636,0.019820,,convex,-2.175020,39.125751,-2.025690
cluster_1010.txt,0.157988,0.013850,,convex,-1.422690,40.060169,-2.017580
cluster_1011.txt,1.909803,0.020620,,convex,-1.395950,40.123291,-2.019080
cluster_1012.txt,0.221873,0.006360,,convex,-1.391330,40.144508,-2.033080
cluster_1013.txt,3.609651,0.018170,,convex,-1.545460,40.162411,-2.030140
cluster_1014.txt,2.429733,0.018600,,convex,-1.557850,40.222149,-2.032080
cluster_1015.txt,0.998213,0.014640,,convex,-1.557510,40.195320,-2.029730
cluster_1016.txt,2.219635,0.013600,,convex,-1.530660,40.203678,-2.036350
cluster_1017.txt,0.651330,0.008850,,convex,-1.497220,40.197010,-2.036200
cluster_1018.txt,1.795989,0.019100,,convex,-1.520460,40.239410,-2.026670
cluster_1019.txt,0.407247,0.009270,,convex,-1.463130,40.160820,-2.029580
cluster_102.txt,1.024148,0.022390,,convex,-2.159740,39.142090,-2.020160
cluster_1020.txt,2.628552,0.016970,,convex,-1.445380,40.184101,-2.027030
cluster_1021.txt,2.011423,0.017830,,convex,-1.419900,40.212002,-2.031960
cluster_1022.txt,0.061426,0.004180,,convex,-1.375430,40.197269,-2.042820
cluster_1023.txt,1.149850,0.008860,,convex,-1.363250,40.217720,-2.040810
cluster_1024.txt,4.632250,0.027200,,convex,-1.352980,40.096741,-2.012080
cluster_1025.txt,1.075084,0.021330,,convex,-1.332670,40.035702,-2.026820
cluster_1026.txt,1.071681,0.009980,,convex,-1.331650,40.155079,-2.042260
cluster_1027.txt,2.056843,0.012970,,convex,-1.319180,40.131519,-2.039410
cluster_1028.txt,0.587611,0.010700,,convex,-1.286480,40.056221,-2.036150
cluster_1029.txt,1.107765,0.016750,,convex,-1.258380,40.151100,-2.031280
cluster_103.txt,0.700499,0.013170,,convex,-2.124720,39.139278,-2.036050
cluster_1030.txt,2.675332,0.027120,,convex,-1.219460,40.049622,-2.019360
cluster_1031.txt,0.152165,0.005140,,convex,-1.347600,40.183578,-2.046040
cluster_1032.txt,1.631521,0.015660,,convex,-1.294770,40.189442,-2.034200
cluster_1033.txt,1.527398,0.010020,,convex,-1.289770,40.230980,-2.039850
cluster_1034.txt,1.777575,0.021820,,convex,-1.234610,40.210732,-2.027780
cluster_1035.txt,1.666687,0.014980,,convex,-1.211820,40.173130,-2.035980
cluster_1036.txt,7.929395,0.019580,,convex,-2.038300,40.343399,-2.014370
cluster_1037.txt,1.374417,0.010660,,convex,-1.986980,40.359730,-2.024550
cluster_1038.txt,1.185494,0.022330,,convex,-1.953440,40.286800,-2.026280
cluster_1039.txt,3.976563,0.022340,,convex,-1.918100,40.358761,-2.029300
cluster_104.txt,3.051178,0.027780,,convex,-2.095530,39.140541,-2.020020
cluster_1040.txt,0.910980,0.008290,,convex,-1.918990,40.278889,-2.051480
cluster_1041.txt,1.616830,0.013790,,convex,-1.956090,40.384220,-2.026110
cluster_1042.txt,0.154540,0.005150,,convex,-1.874110,40.309502,-2.043870
cluster_1043.txt,0.482219,0.013690,,convex,-1.860440,40.368279,-2.024690
cluster_1044.txt,0.679399,0.010070,,convex,-2.074160,40.486900,-2.030820
cluster_1045.txt,3.149053,0.030180,,convex,-2.036360,40.485039,-2.004010
cluster_1046.txt,3.558169,0.029810,,convex,-2.015380,40.491600,-2.007520
cluster_1047.txt,4.685083,0.022630,,convex,-1.969680,40.483749,-2.024890
cluster_1048.txt,4.974709,0.019890,,convex,-1.910940,40.402950,-2.030000
cluster_1049.txt,0.283140,0.007250,,convex,-1.957860,40.423569,-2.038490
cluster_105.txt,1.570107,0.020440,,convex,-2.086350,39.155979,-2.025660
cluster_1050.txt,1.927592,0.016730,,convex,-1.948210,40.498192,-2.031650
cluster_1051.txt,4.652771,0.019310,,convex,-1.889990,40.473808,-2.019100
cluster_1052.txt,0.451242,0.013020,,convex,-1.825690,40.296219,-2.028300
cluster_1053.txt,0.708023,0.015820,,convex,-1.827240,40.348671,-2.022100
cluster_1054.txt,12.159566,0.049990,,convex,-1.820190,40.387001,-1.992560
cluster_1055.txt,1.495803,0.016140,,convex,-1.777390,40.390491,-2.033660
cluster_1056.txt,2.762235,0.025760,,convex,-1.667170,40.351910,-2.032750
cluster_1057.txt,1.310291,0.018500,,convex,-1.627900,40.337021,-2.035920
cluster_1058.txt,2.716750,0.023240,,convex,-1.601590,40.309502,-2.030220
cluster_1059.txt,5.170615,0.025470,,convex,-1.800460,40.493271,-2.023030
cluster_106.txt,1.688905,0.019710,,convex,-2.320570,39.191620,-2.035630
cluster_1060.txt,1.836755,0.024530,,convex,-1.822930,40.512691,-2.016940
cluster_1061.txt,3.486508,0.015880,,convex,-1.747510,40.442188,-2.025550
cluster_1062.txt,2.535997,0.023110,,convex,-1.747740,40.481239,-2.023080
cluster_1063.txt,0.868255,0.009780,,convex,-1.698930,40.435291,-2.040860
cluster_1064.txt,0.987001,0.010310,,convex,-1.717750,40.463680,-2.033710
cluster_1065.txt,0.832363,0.011790,,convex,-1.662110,40.489449,-2.026530
cluster_1066.txt,0.262448,0.007340,,convex,-1.652930,40.414089,-2.045570
cluster_1067.txt,0.786964,0.009410,,convex,-1.600490,40.413761,-2.045150
cluster_1068.txt,1.822403,0.013870,,convex,-1.620270,40.460388,-2.029830
cluster_1069.txt,1.768269,0.014360,,convex,-1.602520,40.516979,-2.030650
cluster_107.txt,5.648986,0.035480,,convex,-2.311510,39.280659,-2.011730
cluster_1070.txt,0.401212,0.012400,,convex,-1.613630,40.487850,-2.026170
cluster_1071.txt,1.118692,0.012780,,convex,-2.032890,40.529221,-2.024960
cluster_1072.txt,0.437009,0.012360,,convex,-2.049100,40.631882,-2.050120
cluster_1073.txt,0.895806,0.009170,,convex,-1.965070,40.583420,-2.037530
cluster_1074.txt,4.452786,0.018940,,convex,-1.931960,40.541119,-2.033220
cluster_1075.txt,1.653956,0.013520,,convex,-1.865790,40.523289,-2.038710
cluster_1076.txt,2.244563,0.015110,,convex,-1.850200,40.551590,-2.038170
cluster_1077.txt,2.630323,0.014910,,convex,-1.844460,40.593311,-2.038100
cluster_1078.txt,1.437225,0.010610,,convex,-2.053490,40.674381,-2.060520
cluster_1079.txt,4.681234,0.033650,,convex,-1.946680,40.686939,-2.034110
cluster_108.txt,0.456920,0.010230,,convex,-2.237320,39.229759,-2.035540
cluster_1080.txt,0.084954,0.008570,,convex,-1.952050,40.684189,-2.048490
cluster_1081.txt,7.033752,0.044440,,convex,-1.931240,40.719189,-2.017200
cluster_1082.txt,2.970397,0.019040,,convex,-1.880460,40.671631,-2.036670
cluster_1083.txt,0.537849,0.011810,,convex,-1.838520,40.526348,-2.032980
cluster_1084.txt,5.480469,0.026980,,convex,-1.810220,40.543701,-2.022640
